,Opening Price,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Company,Date
0,150.9200,152.8600,137.6700,141.8900,141.8900,43082215,0.0000,AMAT,2023-08-14
1,144.0200,153.2800,133.5200,151.5900,151.5900,127151975,0.0000,AMAT,2023-07-31
2,133.7300,146.6900,130.7500,144.5400,144.5400,116841988,0.0000,AMAT,2023-06-30
3,113.3000,138.8000,111.2000,133.3000,133.3000,133483678,0.3200,AMAT,2023-05-31
4,121.6300,122.9700,109.0000,113.0300,112.7336,111415728,0.0000,AMAT,2023-04-28
5,117.7000,125.6200,111.9200,122.8300,122.5080,160485505,0.0000,AMAT,2023-03-31
6,112.1100,124.9200,109.4800,116.1500,115.8455,130322556,0.2600,AMAT,2023-02-28
7,99.7700,115.7600,96.1200,111.4900,110.9364,117570971,0.0000,AMAT,2023-01-31
8,110.1500,116.0900,93.6750,97.3800,96.8965,128013759,0.0000,AMAT,2022-12-30
9,90.5000,112.1200,84.7000,109.6000,109.0558,176525283,0.2600,AMAT,2022-11-30
10,83.0400,91.1900,71.1200,88.2900,87.6400,212183579,0.0000,AMAT,2022-10-31
11,91.5350,97.6700,81.5300,81.9300,81.3268,147536174,0.0000,AMAT,2022-09-30
12,104.4900,111.6500,92.6100,94.0700,93.3775,160510544,0.2600,AMAT,2022-08-31
13,88.7200,106.5499,82.6700,105.9800,104.9309,135497660,0.0000,AMAT,2022-07-29
14,117.9600,118.5000,87.6200,90.9800,90.0794,167028326,0.0000,AMAT,2022-06-30
15,111.1000,119.7000,101.3300,117.2900,116.1290,178596582,0.2600,AMAT,2022-05-31
16,132.8750,133.0400,107.9000,110.3500,108.9965,172756957,0.0000,AMAT,2022-04-29
17,133.7350,142.0100,118.1700,131.8000,130.1835,165798230,0.0000,AMAT,2022-03-31
18,138.2300,145.1600,122.6800,134.2000,132.5540,160778153,0.2400,AMAT,2022-02-28
19,157.7400,167.0600,123.8510,138.1800,136.2342,203367300,0.0000,AMAT,2022-01-31
20,151.2500,163.0200,141.0200,157.3600,155.1441,147624969,0.0000,AMAT,2021-12-31
