,Opening Price,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Company,Date
0,711.4500,712.5000,648.7100,666.5500,666.5500,8167826,1.6281,ASML,2023-08-14
1,733.9900,771.9800,673.3400,716.4100,714.7680,26593685,0.0000,ASML,2023-07-31
2,724.2000,744.4400,695.9237,724.7500,723.0889,18445064,0.0000,ASML,2023-06-30
3,635.0000,747.1300,628.5300,722.9300,721.2731,21404296,1.8386,ASML,2023-05-31
4,674.8000,681.6000,605.7600,636.8600,633.5664,20211513,0.0000,ASML,2023-04-28
5,621.0700,683.1800,589.8900,680.7100,677.1897,22216206,0.0000,ASML,2023-03-31
6,659.5300,698.5900,610.1400,617.7300,614.5354,18515531,1.4905,ASML,2023-02-28
7,561.2800,684.9400,545.7700,660.8400,655.9455,22395188,0.0000,ASML,2023-01-31
8,611.7100,643.3600,529.0100,546.4000,542.3531,20749878,0.0000,ASML,2022-12-30
9,483.3750,610.0000,437.1200,608.1200,603.6160,29741057,1.3404,ASML,2022-11-30
10,423.6000,496.2000,363.1501,472.4200,467.4966,36072659,0.0000,ASML,2022-10-31
11,477.9200,511.0000,413.9500,415.3500,411.0214,21046268,0.0000,ASML,2022-09-30
12,573.2400,592.7500,486.7000,489.9400,484.8341,18678156,1.3959,ASML,2022-08-31
13,455.3000,576.9200,412.6700,574.4400,567.1081,27561426,0.0000,ASML,2022-07-29
14,577.4400,583.4600,461.8500,475.8800,469.8061,17485449,0.0000,ASML,2022-06-30
15,558.7400,594.2500,509.5500,576.2900,568.9345,22160381,3.5317,ASML,2022-05-31
16,675.2900,681.5400,544.0000,563.7700,553.1511,23274373,0.0000,ASML,2022-04-29
17,660.2100,714.6200,558.7700,667.9300,655.3492,27804571,0.0000,ASML,2022-03-31
18,682.5500,691.2400,599.6800,666.5100,653.9559,19410858,0.0000,ASML,2022-02-28
19,795.7400,799.3600,620.6700,677.2000,664.4446,30639589,0.0000,ASML,2022-01-31
20,812.5600,832.6800,741.4000,796.1400,781.1443,17024101,0.0000,ASML,2021-12-31
21,806.9100,881.1200,776.0100,791.5100,776.6015,16695511,2.0938,ASML,2021-11-30
22,745.0000,821.9200,709.0300,812.8800,795.5178,22309987,0.0000,ASML,2021-10-29
23,838.7200,895.9300,742.2900,745.1100,729.1953,20902947,0.0000,ASML,2021-09-30
24,770.8100,844.1600,761.2100,833.0400,815.2472,11865803,0.0000,ASML,2021-08-31
25,687.2400,768.7000,664.8300,766.7400,750.3633,15882866,0.0000,ASML,2021-07-30
26,684.7400,710.9700,660.1100,690.8400,676.0844,14290115,0.0000,ASML,2021-06-30
27,657.7100,679.4438,600.2600,675.4700,661.0427,18274281,1.8697,ASML,2021-05-28
28,619.8000,675.6500,612.7800,648.1000,632.4504,20570251,0.0000,ASML,2021-04-30
29,572.3700,627.3000,501.1100,617.3600,602.4527,25842191,0.0000,ASML,2021-03-31
30,547.4000,608.7100,541.9500,567.0900,553.3965,14572418,0.0000,ASML,2021-02-26
31,499.9900,573.7987,489.7400,534.1600,521.2617,19393834,0.0000,ASML,2021-01-29
32,447.1000,492.6600,444.2600,487.7200,475.9431,12507023,0.0000,ASML,2020-12-31
33,364.4800,441.2900,361.7200,437.7300,427.1602,16371313,1.1864,ASML,2020-11-30
34,375.5300,409.1100,357.3800,361.2100,351.3466,15564640,0.0000,ASML,2020-10-30
35,384.1100,401.1500,343.2500,369.2700,359.1865,17962571,0.0000,ASML,2020-09-30
36,361.0200,386.8000,359.5400,374.1800,363.9624,11417304,0.0000,ASML,2020-08-31
37,368.0300,402.8700,350.7435,353.7200,344.0611,21052007,0.0000,ASML,2020-07-31
38,323.8800,371.8000,323.5000,368.0300,357.9803,15699643,0.0000,ASML,2020-06-30
39,283.8600,329.9800,275.9600,329.5100,320.5122,15489445,0.0000,ASML,2020-05-29
40,253.1300,304.7600,242.2500,288.4300,280.5539,17361639,1.2391,ASML,2020-04-30
41,279.6200,301.9900,191.2500,261.6400,253.4195,36113343,0.0000,ASML,2020-03-31
42,283.6300,319.2200,265.9800,276.7100,268.0161,18868887,0.0000,ASML,2020-02-28
43,301.2700,305.9000,280.1700,280.6600,271.8419,15372526,0.0000,ASML,2020-01-31
44,270.1100,298.5000,261.1100,295.9400,286.6419,10837725,0.0000,ASML,2019-12-31
45,267.2100,276.2300,264.6900,270.6200,262.1174,10470411,2.1528,ASML,2019-11-29
46,249.1700,269.3900,238.2900,261.9700,251.7552,18890129,0.0000,ASML,2019-10-31
47,220.6500,252.1100,218.9000,248.4200,238.7335,12841895,0.0000,ASML,2019-09-30
48,225.9800,229.9700,207.0700,222.6100,213.9299,10709505,0.0000,ASML,2019-08-30
49,215.9700,234.5000,204.3600,222.8100,214.1221,15123767,0.0000,ASML,2019-07-31
50,188.5800,209.7700,186.3100,207.9300,199.8223,10913738,0.0000,ASML,2019-06-28
51,209.9200,210.8700,186.9000,188.0500,180.7175,15230449,0.0000,ASML,2019-05-31
52,191.2400,209.0100,190.7600,208.8200,200.6776,12298942,1.9921,ASML,2019-04-30
53,184.4100,195.4600,175.5700,188.0500,178.9966,13071119,0.0000,ASML,2019-03-29
54,176.7900,188.2700,176.1800,182.8700,174.0660,14557852,0.0000,ASML,2019-02-28
55,154.2800,177.5900,147.3800,175.0300,166.6034,20183874,0.0000,ASML,2019-01-31
56,173.8600,178.2000,144.5000,155.6200,148.1279,21465269,0.0000,ASML,2018-12-31
57,171.0300,178.6800,156.5800,171.3500,163.1006,29728829,0.0000,ASML,2018-11-30
58,190.8700,192.5200,157.9500,172.3600,164.0620,21598156,0.0000,ASML,2018-10-31
59,199.0500,199.9000,172.6900,188.0200,178.9680,19194269,0.0000,ASML,2018-09-28
60,214.0100,216.1200,193.9000,205.0500,195.1782,14283606,0.0000,ASML,2018-08-31
61,193.6200,221.6600,189.8100,214.0000,203.6973,24210082,0.0000,ASML,2018-07-31
62,200.3900,216.9000,190.0400,197.9700,188.4390,15454444,0.0000,ASML,2018-06-29
63,188.5000,204.1600,187.9800,196.6500,187.1826,14046092,0.0000,ASML,2018-05-31
64,197.4700,213.3500,187.6300,188.4500,179.3773,22893630,1.4604,ASML,2018-04-30
65,193.1600,216.0000,189.0300,198.5600,187.5721,19885808,0.0000,ASML,2018-03-29
66,202.0800,203.4000,175.8800,195.3900,184.5775,21083860,0.0000,ASML,2018-02-28
67,174.1400,208.5800,173.9800,202.9600,191.7286,23242603,0.0000,ASML,2018-01-31
68,174.0100,177.4900,168.3000,173.8200,164.2011,17595788,0.0000,ASML,2017-12-29
69,182.6800,186.3700,172.0900,175.5200,165.8070,17282607,0.0000,ASML,2017-11-30
70,170.3900,180.9650,167.7000,180.7500,170.7476,19461244,0.0000,ASML,2017-10-31
71,157.1600,171.5300,153.4650,171.2000,161.7261,17412012,0.0000,ASML,2017-09-29
72,151.9500,156.6700,148.9500,156.3100,147.6601,13390448,0.0000,ASML,2017-08-31
73,131.1000,155.7300,129.3300,150.3300,142.0110,20686929,0.0000,ASML,2017-07-31
74,132.9000,136.0700,126.0300,130.3100,123.0989,20819465,0.0000,ASML,2017-06-30
75,132.0500,137.2700,131.6200,131.9900,124.6859,15739340,0.0000,ASML,2017-05-31
76,132.3500,134.9500,126.0400,131.8500,124.5537,16848583,1.1111,ASML,2017-04-28
77,122.5000,134.2900,119.8300,132.8000,124.4027,19637762,0.0000,ASML,2017-03-31
78,121.6500,127.6000,121.0000,121.6900,113.9952,21958275,0.0000,ASML,2017-02-28
79,110.9800,125.8799,109.6200,121.4000,113.7236,22120745,0.0000,ASML,2017-01-31
80,102.6700,112.6600,98.8400,112.2000,105.1053,12815471,0.0000,ASML,2016-12-30
81,105.6500,105.6800,98.7100,103.1300,96.6088,17100750,0.0000,ASML,2016-11-30
82,109.3600,109.8500,100.0400,105.6200,98.9414,15365942,0.0000,ASML,2016-10-31
83,106.3200,110.1400,100.8300,109.5800,102.6510,13885596,0.0000,ASML,2016-09-30
84,109.6200,111.5800,104.7300,106.5500,99.8126,14458027,0.0000,ASML,2016-08-31
85,98.3700,110.8500,92.8400,109.6200,102.6885,21127909,0.0000,ASML,2016-07-29
86,98.9100,101.4100,91.1500,99.2100,92.9367,19678610,0.0000,ASML,2016-06-30
87,96.7000,100.4900,90.4300,99.9800,93.6580,14847105,1.0274,ASML,2016-05-31
88,99.4000,102.6000,95.1300,96.6000,89.5177,13042039,0.0000,ASML,2016-04-29
89,92.9600,101.9200,92.0900,100.3900,93.0299,12390160,0.0000,ASML,2016-03-31
90,91.0200,92.7400,80.2400,91.0200,84.3468,18463740,0.0000,ASML,2016-02-29
91,87.2900,91.9300,77.1733,91.8400,85.1067,27520639,0.0000,ASML,2016-01-29
92,93.1300,93.5100,85.6800,88.7700,82.2618,14162998,0.0000,ASML,2015-12-31
93,94.2800,96.6300,88.6300,92.7200,85.9222,25489306,0.0000,ASML,2015-11-30
94,86.2400,94.4100,84.4500,92.7900,85.9871,22935468,0.0000,ASML,2015-10-30
95,89.7400,94.5000,82.1000,87.9800,81.5297,25842012,0.0000,ASML,2015-09-30
96,99.3400,100.0800,82.0700,91.0200,84.3468,34104606,0.0000,ASML,2015-08-31
