,Opening Price,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Company,Date
0,7.9900,8.0200,7.4200,7.6100,7.6100,43298639,0.0000,ASX,2023-08-14
1,7.8100,8.4300,7.4200,8.0300,8.0300,108549308,0.0000,ASX,2023-07-31
2,7.7100,9.0300,7.6850,7.7900,7.7900,122099254,0.5714,ASX,2023-06-30
3,6.8300,7.9700,6.7000,7.6200,7.0992,112581903,0.0000,ASX,2023-05-31
4,7.9500,7.9600,6.7500,6.8600,6.3912,87040922,0.0000,ASX,2023-04-28
5,7.2500,7.9700,7.2000,7.9700,7.4253,143786285,0.0000,ASX,2023-03-31
6,7.2600,7.6975,6.9100,7.1700,6.6800,124358979,0.0000,ASX,2023-02-28
7,6.3200,7.6000,6.2100,7.2000,6.7079,100920775,0.0000,ASX,2023-01-31
8,6.8400,6.8800,6.1600,6.2700,5.8415,145106325,0.0000,ASX,2022-12-30
9,5.2000,6.8100,4.9700,6.8000,6.3353,195456352,0.0000,ASX,2022-11-30
10,4.9800,5.5000,4.4500,5.0900,4.7421,209760415,0.0000,ASX,2022-10-31
11,5.6400,5.8000,4.9900,4.9900,4.6490,201078640,0.0000,ASX,2022-09-30
12,5.8200,6.4000,5.6329,5.7600,5.3663,137465795,0.0000,ASX,2022-08-31
13,5.0700,5.9300,4.8800,5.8900,5.4875,98862235,0.0000,ASX,2022-07-29
14,7.1600,7.3100,5.1000,5.1700,4.8167,137609625,0.4791,ASX,2022-06-30
15,6.4800,7.2200,6.1750,7.1500,6.1100,159285644,0.0000,ASX,2022-05-31
16,7.1600,7.2450,6.2000,6.4400,5.5033,136500004,0.0000,ASX,2022-04-29
17,7.3700,7.5900,6.6300,7.0900,6.0588,156154942,0.0000,ASX,2022-03-31
18,7.1400,7.8100,6.8500,7.2300,6.1784,102287420,0.0000,ASX,2022-02-28
19,7.8200,8.1500,6.5300,7.0800,6.0502,116393146,0.0000,ASX,2022-01-31
20,7.5400,8.1100,7.1201,7.8100,6.6740,98074327,0.0000,ASX,2021-12-31
21,7.1100,7.7900,7.0100,7.3100,6.2468,69335255,0.0000,ASX,2021-11-30
22,7.9500,7.9500,6.6100,7.1200,6.0844,85505172,0.0000,ASX,2021-10-29
23,9.2400,9.3700,7.6600,7.8500,6.7082,100260693,0.3017,ASX,2021-09-30
24,9.0200,9.6200,8.2500,9.2700,7.6675,92725483,0.0000,ASX,2021-08-31
25,8.0500,8.9450,7.8500,8.8700,7.3366,52086577,0.0000,ASX,2021-07-30
26,8.2000,8.7800,7.9700,8.0500,6.6584,56864702,0.0000,ASX,2021-06-30
27,8.1600,8.2700,6.7800,8.0200,6.6336,45424651,0.0000,ASX,2021-05-28
28,7.7500,8.6400,7.5550,8.3100,6.8734,50809394,0.0000,ASX,2021-04-30
29,7.7100,7.8600,6.9801,7.7000,6.3689,81268452,0.0000,ASX,2021-03-31
30,6.8900,9.0000,6.7850,7.5700,6.2614,68792200,0.0000,ASX,2021-02-26
31,6.0000,7.7500,5.9211,6.6600,5.5087,49747911,0.0000,ASX,2021-01-29
32,5.3900,5.9400,5.3781,5.8400,4.8304,25510222,0.0000,ASX,2020-12-31
33,4.6200,5.4100,4.5300,5.3200,4.4003,18426959,0.0000,ASX,2020-11-30
34,4.1500,4.5800,4.0200,4.5700,3.7800,12062693,0.0000,ASX,2020-10-30
35,4.1000,4.3000,3.8800,4.0800,3.3747,14374052,0.0000,ASX,2020-09-30
36,4.8100,4.8700,4.0500,4.1100,3.3995,14781171,0.1365,ASX,2020-08-31
37,4.5700,5.2200,4.4800,5.0100,4.0240,24769244,0.0000,ASX,2020-07-31
