,Opening Price,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Company,Date
0,898.9800,920.6200,823.4800,854.1000,854.1000,19415124,0.0000,AVGO,2023-08-14
1,868.6200,923.1800,844.3300,898.6500,898.6500,48919999,0.0000,AVGO,2023-07-31
2,800.6200,889.9500,776.3800,867.4300,867.4300,73742147,4.6000,AVGO,2023-06-30
3,626.5000,921.7799,601.2900,807.9600,803.5991,70272948,0.0000,AVGO,2023-05-31
4,639.0000,644.2350,603.2300,626.5000,623.1185,31290675,0.0000,AVGO,2023-04-28
5,594.0000,648.4999,586.1300,641.5400,638.0773,60280066,4.6000,AVGO,2023-03-31
6,583.5700,617.0100,572.1000,594.2900,586.8429,37615315,0.0000,AVGO,2023-02-28
7,565.0000,601.6750,549.9900,585.0100,577.6792,44559905,0.0000,AVGO,2023-01-31
8,551.0300,585.6500,516.0500,559.1300,552.1235,53360264,4.6000,AVGO,2022-12-30
9,475.7950,551.6600,441.3600,551.0300,539.6089,46078358,0.0000,AVGO,2022-11-30
10,449.2400,489.7000,415.0682,470.1200,460.3759,48153340,0.0000,AVGO,2022-10-31
11,491.4700,531.2600,443.6350,444.0100,434.8071,57348125,4.1000,AVGO,2022-09-30
12,531.4300,560.5600,496.5400,499.1100,484.6437,39870067,0.0000,AVGO,2022-08-31
13,479.4100,537.8300,463.9100,535.4800,519.9596,39440815,0.0000,AVGO,2022-07-29
14,587.5800,590.9400,480.7100,485.8100,471.7292,46829524,4.1000,AVGO,2022-06-30
15,557.1400,609.0000,512.4400,580.1300,558.7678,60933585,0.0000,AVGO,2022-05-31
16,631.6900,636.7200,553.3950,554.3900,533.9756,42488523,0.0000,AVGO,2022-04-29
17,584.7900,645.3100,563.6100,629.6800,606.4932,54974241,4.1000,AVGO,2022-03-31
18,585.8700,614.6400,549.0200,587.4400,561.9767,45150977,0.0000,AVGO,2022-02-28
19,666.3170,672.1862,513.4000,585.8800,560.4843,62674774,0.0000,AVGO,2022-01-31
20,563.4800,677.7600,544.0000,665.4100,636.5670,60258010,4.1000,AVGO,2021-12-31
21,530.3360,577.2100,524.9300,553.6800,526.3408,34352805,0.0000,AVGO,2021-11-30
22,487.8500,536.0700,472.7800,531.6700,505.4176,34166302,0.0000,AVGO,2021-10-29
23,496.2700,510.7000,484.4801,484.9300,460.9855,37313757,3.6000,AVGO,2021-09-30
24,489.0500,507.8500,462.6600,497.2100,469.2187,26436160,0.0000,AVGO,2021-08-31
25,477.8400,494.0200,455.7100,485.4000,458.0736,32332686,0.0000,AVGO,2021-07-30
26,475.4400,478.5900,458.4400,476.8400,449.9955,37593216,3.6000,AVGO,2021-06-30
27,459.7500,474.6200,419.1400,472.3300,442.3122,35504377,0.0000,AVGO,2021-05-28
28,472.0700,489.6350,449.0000,456.2000,427.2073,40559988,0.0000,AVGO,2021-04-30
29,479.7000,490.8599,419.2600,463.6600,434.1932,72481021,3.6000,AVGO,2021-03-31
30,455.8500,495.1400,453.5900,469.8700,436.6950,31612577,0.0000,AVGO,2021-02-26
31,439.3300,470.0000,420.5400,450.5000,418.6927,32133476,0.0000,AVGO,2021-01-29
32,403.4600,438.5000,398.1000,437.8500,406.9358,40139046,3.6000,AVGO,2020-12-31
33,355.0400,402.1600,346.6600,401.5800,370.1601,30097725,0.0000,AVGO,2020-11-30
34,368.9800,387.8000,344.4200,349.6300,322.2747,33740890,0.0000,AVGO,2020-10-30
35,350.0000,378.9600,343.4800,364.3200,335.8154,51899593,3.2500,AVGO,2020-09-30
36,318.0000,350.5800,317.2800,347.1500,317.0596,31023569,0.0000,AVGO,2020-08-31
37,315.1100,324.3300,304.1800,316.7500,289.2946,37872897,0.0000,AVGO,2020-07-31
38,290.4200,328.1100,287.3700,315.6100,288.2535,65234712,3.2500,AVGO,2020-06-30
39,266.0000,292.0000,254.7500,291.2700,263.1980,41960729,0.0000,AVGO,2020-05-29
40,227.9900,276.9900,219.6800,271.6200,245.4418,62006048,0.0000,AVGO,2020-04-30
41,276.7600,288.4800,155.6700,237.1000,214.2488,119531134,3.2500,AVGO,2020-03-31
42,305.6300,325.7000,262.7400,272.6200,242.2495,45884003,0.0000,AVGO,2020-02-28
43,319.3200,331.5800,298.8000,305.1600,271.1645,58302799,0.0000,AVGO,2020-01-31
