,Opening Price,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Company,Date
0,35.8200,36.0200,33.8600,35.6800,35.6800,297932348,0.1250,INTC,2023-08-14
1,33.5400,37.1900,31.3800,35.7700,35.6432,791861471,0.0000,INTC,2023-07-31
2,31.8000,37.1100,29.6950,33.4400,33.3215,1065522382,0.0000,INTC,2023-06-30
3,31.1100,32.2900,26.8550,31.4400,31.3286,967768584,0.1250,INTC,2023-05-31
4,32.9400,33.8400,28.5100,31.0600,30.8266,728454261,0.0000,INTC,2023-04-28
5,25.0300,32.9000,24.9700,32.6700,32.4245,1193689535,0.0000,INTC,2023-03-31
6,27.8900,31.1700,24.7300,24.9300,24.7426,880351327,0.3650,INTC,2023-02-28
7,27.0450,30.4900,26.3700,28.2600,27.6953,840843151,0.0000,INTC,2023-01-31
8,30.2400,30.4800,25.3500,26.4300,25.9018,758549634,0.0000,INTC,2022-12-30
9,28.8000,31.3350,27.1700,30.0700,29.4691,788939892,0.3650,INTC,2022-11-30
10,26.3300,29.2186,24.5900,28.4300,27.5058,981086384,0.0000,INTC,2022-10-31
11,31.5720,32.3750,25.7400,25.7700,24.9323,888333621,0.0000,INTC,2022-09-30
12,36.0500,37.6900,31.7700,31.9200,30.8824,899196933,0.3650,INTC,2022-08-31
13,37.0900,40.7300,35.2400,36.3100,34.7738,792971401,0.0000,INTC,2022-07-29
14,44.7700,44.9300,36.6000,37.4100,35.8272,783410262,0.0000,INTC,2022-06-30
15,43.7200,46.6400,40.3100,44.4200,42.5406,773074449,0.3650,INTC,2022-05-31
16,49.8300,49.9000,43.5000,43.5900,41.4069,639104164,0.0000,INTC,2022-04-29
17,47.5400,52.5100,44.0700,49.5600,47.0779,847764218,0.0000,INTC,2022-03-31
18,48.7750,49.9700,43.6250,47.7000,45.3111,756444446,0.3650,INTC,2022-02-28
19,51.6500,56.2800,46.3000,48.8200,46.0250,888939821,0.0000,INTC,2022-01-31
20,49.8400,55.0000,48.3300,51.5000,48.5516,714225962,0.0000,INTC,2021-12-31
21,49.4000,51.9900,48.1150,49.2000,46.3833,616336273,0.3475,INTC,2021-11-30
22,53.6450,56.0700,47.8700,49.0000,45.8779,672041877,0.0000,INTC,2021-10-29
23,54.1100,55.4850,52.3200,53.2800,49.8851,413373937,0.0000,INTC,2021-09-30
24,53.9900,54.8700,51.4200,54.0600,50.6154,402316935,0.3475,INTC,2021-08-31
25,56.1300,57.4550,52.3100,53.7200,49.9749,516848056,0.0000,INTC,2021-07-30
26,57.6100,58.4150,55.1000,56.1400,52.2261,511506974,0.0000,INTC,2021-06-30
27,57.8550,58.0100,53.4200,57.1200,53.1378,495389646,0.3475,INTC,2021-05-28
28,64.7250,68.4900,57.0700,57.5300,53.1960,654975049,0.0000,INTC,2021-04-30
29,61.7200,67.4400,57.9050,64.0000,59.1786,770829377,0.0000,INTC,2021-03-31
30,55.9500,63.5400,55.7100,60.7800,56.2012,509851966,0.3475,INTC,2021-02-26
31,49.8900,63.9500,49.3300,55.5100,51.0266,963145166,0.0000,INTC,2021-01-29
32,48.7500,52.6500,45.2400,49.8200,45.7961,883642951,0.0000,INTC,2020-12-31
33,44.9600,48.5000,44.2400,48.3500,44.4449,676127972,0.3300,INTC,2020-11-30
34,52.4000,56.2300,43.6100,44.2800,40.4117,738468254,0.0000,INTC,2020-10-30
35,50.9100,52.6800,48.4200,51.7800,47.2564,680632919,0.0000,INTC,2020-09-30
36,48.2700,51.5000,47.7000,50.9500,46.4990,667012794,0.3300,INTC,2020-08-31
37,59.9100,61.9300,46.9700,47.7300,43.2663,807933301,0.0000,INTC,2020-07-31
38,62.4900,65.1100,56.7600,59.8300,54.2347,570572322,0.0000,INTC,2020-06-30
39,58.8300,64.1400,56.1000,62.9300,57.0448,409267014,0.3300,INTC,2020-05-29
40,52.5000,62.1300,51.2200,59.9800,54.0692,617700468,0.0000,INTC,2020-04-30
41,55.7900,59.0200,43.6300,54.1200,48.7867,961068384,0.0000,INTC,2020-03-31
42,64.4600,68.0900,53.6000,55.5200,50.0487,441561383,0.3300,INTC,2020-02-28
43,60.2400,69.2900,58.5200,63.9300,57.3478,533822052,0.0000,INTC,2020-01-31
44,58.5500,60.4800,55.7500,59.8500,53.6879,420756447,0.0000,INTC,2019-12-31
45,55.9400,59.1300,55.6200,58.0500,52.0732,319928305,0.3150,INTC,2019-11-29
46,51.9700,57.2400,48.5300,56.5300,50.4339,447198301,0.0000,INTC,2019-10-31
47,47.1200,53.3300,46.5000,51.5300,45.9731,394454311,0.0000,INTC,2019-09-30
48,50.5200,51.8900,44.8000,47.4100,42.2974,532452359,0.3150,INTC,2019-08-30
49,49.2900,53.5000,47.0700,50.5500,44.7983,431126089,0.0000,INTC,2019-07-31
50,44.2500,48.4800,43.2000,47.8700,42.4232,416045893,0.0000,INTC,2019-06-28
51,51.1000,51.8200,42.8600,44.0400,39.0290,637861343,0.3150,INTC,2019-05-31
52,54.3400,59.5900,50.8700,51.0400,44.9561,472425421,0.0000,INTC,2019-04-30
53,53.4400,54.9900,51.7000,53.7000,47.2990,434996043,0.0000,INTC,2019-03-29
54,47.0600,53.6100,47.0100,52.9600,46.6472,410235964,0.3150,INTC,2019-02-28
55,45.9600,50.0400,44.3900,47.1200,41.2430,620390536,0.0000,INTC,2019-01-31
56,50.0000,50.5000,43.5100,46.9300,41.0767,565244945,0.0000,INTC,2018-12-31
57,46.9500,49.3200,46.5200,49.3100,43.1598,552785954,0.3000,INTC,2018-11-30
58,46.7900,49.7200,42.3600,46.8800,40.7740,782228387,0.0000,INTC,2018-10-31
59,48.3800,48.4300,44.0600,47.2900,41.1306,462762271,0.0000,INTC,2018-09-28
60,48.0600,50.6000,46.1900,48.4300,42.1221,516984340,0.3000,INTC,2018-08-31
61,49.0400,53.3000,46.4300,48.1000,41.5821,479349340,0.0000,INTC,2018-07-31
62,55.8400,57.6000,48.5000,49.7100,42.9739,638342249,0.0000,INTC,2018-06-29
63,51.6400,56.2000,51.0000,55.2000,47.7200,486323968,0.3000,INTC,2018-05-31
64,51.6900,55.7900,47.2900,51.6200,44.3729,666826214,0.0000,INTC,2018-04-30
65,49.5000,53.7800,46.9600,52.0800,44.7683,691522290,0.0000,INTC,2018-03-29
66,47.7000,50.9000,42.0400,49.2900,42.3700,576889841,0.3000,INTC,2018-02-28
67,46.3800,50.8500,42.4400,48.1400,41.1069,877438559,0.0000,INTC,2018-01-31
68,44.7300,47.6400,42.6700,46.1600,39.4161,539462755,0.0000,INTC,2017-12-29
69,45.9700,47.3000,43.7700,44.8400,38.2890,553785979,0.2725,INTC,2017-11-30
70,38.1200,45.8000,38.0800,45.4900,38.6187,618010069,0.0000,INTC,2017-10-31
71,35.2400,38.1500,34.9300,38.0800,32.3280,416326959,0.0000,INTC,2017-09-29
72,35.6600,36.7000,34.3800,35.0700,29.7726,482381405,0.2725,INTC,2017-08-31
73,33.5100,35.8600,33.2300,35.4700,29.8890,424680174,0.0000,INTC,2017-07-31
74,36.1200,36.5700,33.3400,33.7400,28.4312,481423644,0.0000,INTC,2017-06-30
75,36.1100,37.1700,35.0200,36.1100,30.4283,422975592,0.2725,INTC,2017-05-31
76,36.1900,37.5000,35.2100,36.1500,30.2392,438432409,0.0000,INTC,2017-04-28
77,35.8500,36.2950,34.6600,36.0700,30.1723,546154580,0.0000,INTC,2017-03-31
78,36.8200,36.9500,34.8400,36.2000,30.2810,477551216,0.2600,INTC,2017-02-28
79,36.6100,38.4500,36.1900,36.8200,30.5819,456416060,0.0000,INTC,2017-01-31
80,34.8600,37.3450,33.5600,36.2700,30.1251,405906936,0.0000,INTC,2016-12-30
81,34.9000,35.6600,33.4200,34.7000,28.8211,412449276,0.2600,INTC,2016-11-30
82,37.6900,38.3600,34.7100,34.8700,28.7420,471650078,0.0000,INTC,2016-10-31
83,35.9900,38.0500,35.0640,37.7500,31.1159,506502139,0.0000,INTC,2016-09-30
