,Opening Price,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Company,Date
0,71.0000,71.0800,64.0700,68.2800,68.2800,131403066,0.0000,MU,2023-08-14
1,63.4400,72.3400,60.5000,71.3900,71.3900,280230759,0.1150,MU,2023-07-31
2,68.9400,70.5450,62.9000,63.1100,62.9906,380417458,0.0000,MU,2023-06-30
3,63.8900,74.7699,59.5500,68.2000,68.0709,414574947,0.0000,MU,2023-05-31
4,59.8050,64.4350,56.0100,64.3600,64.2382,352504564,0.1150,MU,2023-04-28
5,57.8600,64.4200,52.7600,60.3400,60.1078,422910693,0.0000,MU,2023-03-31
6,60.6200,63.9200,56.8250,57.8200,57.5975,232078851,0.0000,MU,2023-02-28
7,50.5600,64.3400,49.5500,60.3000,60.0679,298584593,0.0000,MU,2023-01-31
8,57.8300,57.9200,48.4300,49.9800,49.7876,348920815,0.1150,MU,2022-12-30
9,55.0900,64.4400,51.9100,57.6500,57.2963,321073062,0.0000,MU,2022-11-30
10,51.0100,57.4400,50.3300,54.1000,53.7681,431947536,0.1150,MU,2022-10-31
11,55.2600,58.8000,48.4500,50.1000,49.6846,419820922,0.0000,MU,2022-09-30
12,62.5000,65.4150,55.5800,56.5300,56.0613,321070391,0.0000,MU,2022-08-31
13,53.2900,63.6800,51.4000,61.8600,61.3471,374910379,0.1150,MU,2022-07-29
14,74.4980,75.4100,53.6000,55.2800,54.7153,389302733,0.0000,MU,2022-06-30
15,68.1600,74.7300,65.8700,73.8400,73.0857,364730028,0.0000,MU,2022-05-31
16,78.4300,78.9100,65.8620,68.1900,67.4934,408922228,0.1000,MU,2022-04-29
17,88.5600,94.0700,68.3400,77.8900,76.9876,643941796,0.0000,MU,2022-03-31
18,82.2000,96.5000,79.8400,88.8600,87.8305,391800135,0.0000,MU,2022-02-28
19,93.9050,98.4500,75.5200,82.2700,81.3168,429882727,0.0000,MU,2022-01-31
20,86.5500,96.7450,80.5300,93.1500,92.0708,455796157,0.1000,MU,2021-12-31
21,68.9700,87.7100,68.9400,84.0000,82.9378,404511440,0.0000,MU,2021-11-30
22,71.3400,71.6700,65.6700,69.1000,68.2262,349953429,0.0000,MU,2021-10-29
23,74.3200,75.8800,70.2200,70.9800,70.0824,367852064,0.1000,MU,2021-09-30
24,79.0400,83.0900,68.8100,73.7000,72.6656,504874764,0.0000,MU,2021-08-31
25,82.2400,82.2500,72.5100,77.5800,76.4912,400256365,0.0000,MU,2021-07-30
26,84.9200,85.7550,75.7100,84.9800,83.7873,420841041,0.0000,MU,2021-06-30
27,86.9700,87.0102,76.1600,84.1400,82.9591,365378555,0.0000,MU,2021-05-28
28,93.0000,96.9600,83.9000,86.0700,84.8620,413909651,0.0000,MU,2021-04-30
29,94.5400,95.7500,80.4900,88.2100,86.9720,544002277,0.0000,MU,2021-03-31
30,79.5900,93.1000,78.4800,91.5300,90.2454,298271516,0.0000,MU,2021-02-26
