,Opening Price,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Company,Date
0,464.5950,469.0000,403.1100,437.5300,437.5300,443568275,0.0000,NVDA,2023-08-14
1,425.1700,480.8800,413.4600,467.2900,467.2900,870901174,0.0000,NVDA,2023-07-31
2,384.8900,439.9000,373.5600,423.0200,423.0200,1052802408,0.0400,NVDA,2023-06-30
3,278.4000,419.3800,272.4000,378.3400,378.2996,1169406527,0.0000,NVDA,2023-05-31
4,275.0900,281.1000,262.2000,277.4900,277.4604,742662535,0.0000,NVDA,2023-04-28
5,231.9200,278.3431,222.9700,277.7700,277.7404,1126657651,0.0400,NVDA,2023-03-31
6,196.9100,238.8800,196.1100,232.1600,232.0954,1039409020,0.0000,NVDA,2023-02-28
7,148.5100,206.2800,140.3400,195.3700,195.3156,945495814,0.0000,NVDA,2023-01-31
8,169.9900,187.9000,138.8400,146.1400,146.0993,894615121,0.0000,NVDA,2022-12-30
9,138.1100,169.9800,129.5600,169.2300,169.1829,1060101416,0.0400,NVDA,2022-11-30
10,123.4700,138.5000,108.1300,134.9700,134.9005,1255185787,0.0000,NVDA,2022-10-31
11,142.0900,145.4700,119.4601,121.3900,121.3275,1312616395,0.0400,NVDA,2022-09-30
12,181.8200,192.7400,149.5851,150.9400,150.8183,1206915173,0.0000,NVDA,2022-08-31
13,148.9900,182.4400,140.5500,181.6300,181.4836,1056635538,0.0000,NVDA,2022-07-29
14,187.2400,196.1900,148.6200,151.5900,151.4678,1055676405,0.0400,NVDA,2022-06-30
15,185.4050,204.0000,155.6700,186.7200,186.5295,1383046898,0.0000,NVDA,2022-05-31
16,273.7500,275.5800,182.9000,185.4700,185.2807,1109910745,0.0000,NVDA,2022-04-29
17,242.9100,289.4600,206.5000,272.8600,272.5816,1163311421,0.0400,NVDA,2022-03-31
18,251.0400,269.2499,208.9000,243.8500,243.5609,1064192509,0.0000,NVDA,2022-02-28
19,298.1500,307.1100,208.8800,244.8600,244.5698,1067591645,0.0000,NVDA,2022-01-31
20,332.1947,332.8934,271.4500,294.1100,293.7614,1105975362,0.0400,NVDA,2021-12-31
21,256.4900,346.4700,252.2700,326.7600,326.3311,1079213759,0.0000,NVDA,2021-11-30
22,207.5000,257.0900,195.5500,255.6700,255.3344,497107602,0.0000,NVDA,2021-10-29
23,224.8500,229.8600,204.6700,207.1600,206.8881,499956172,0.0000,NVDA,2021-09-30
24,197.0000,230.4300,187.6200,223.8500,223.5562,641440828,0.0400,NVDA,2021-08-31
25,805.0000,835.0000,181.6400,194.9900,194.6993,371371175,0.0000,NVDA,2021-07-30
26,650.8000,806.5000,636.1300,800.1000,199.7268,256748671,0.1600,NVDA,2021-06-30
27,605.0000,651.0990,538.3600,649.7800,162.1654,176367494,0.0000,NVDA,2021-05-28
28,542.8900,648.5660,540.4500,600.3800,149.8367,167976641,0.0000,NVDA,2021-04-30
29,555.0000,557.0000,462.6600,533.9300,133.2528,191236844,0.1600,NVDA,2021-03-31
30,522.1335,614.9000,516.1100,548.5800,136.8653,166258921,0.0000,NVDA,2021-02-26
31,524.1700,559.9743,503.4400,519.5900,129.6325,153776622,0.0000,NVDA,2021-01-29
32,539.6900,549.2500,510.5270,522.2000,130.2837,128016408,0.1600,NVDA,2020-12-31
33,506.3100,587.6600,495.8000,536.0600,133.7017,189808791,0.0000,NVDA,2020-11-30
34,550.3200,573.9399,492.0000,501.3600,125.0470,200593091,0.0000,NVDA,2020-10-30
35,539.2000,589.0699,468.1700,541.2200,134.9887,396511776,0.1600,NVDA,2020-09-30
36,429.3000,543.0000,428.6100,534.9800,133.3937,241733886,0.0000,NVDA,2020-08-31
37,380.8300,431.6900,376.5200,424.5900,105.8687,202608883,0.0000,NVDA,2020-07-31
38,353.3300,385.7000,346.3200,379.9100,94.7281,243002408,0.1600,NVDA,2020-06-30
39,284.3500,367.2700,280.8400,355.0200,88.4815,312360731,0.0000,NVDA,2020-05-29
40,255.6500,304.2000,238.3900,292.2800,72.8449,282017179,0.0000,NVDA,2020-04-30
41,276.9000,284.8900,180.6800,263.6000,65.6970,394309113,0.0000,NVDA,2020-03-31
42,235.7000,316.3200,235.4500,270.0700,67.3095,296379863,0.1600,NVDA,2020-02-28
43,238.7500,259.5000,231.2700,236.4300,58.8881,152923749,0.0000,NVDA,2020-01-31
44,216.4600,241.8100,200.3700,235.3000,58.6066,164328924,0.0000,NVDA,2019-12-31
45,199.6000,221.4100,198.5900,216.7400,53.9839,183460462,0.1600,NVDA,2019-11-29
46,175.0000,208.9000,170.1300,201.0200,50.0318,194847227,0.0000,NVDA,2019-10-31
47,164.5800,188.4000,163.2500,174.0700,43.3242,160186748,0.0000,NVDA,2019-09-30
48,169.1400,173.4500,147.3900,167.5100,41.6915,238715294,0.1600,NVDA,2019-08-30
49,172.5700,178.8900,155.0000,168.7200,41.9510,210468645,0.0000,NVDA,2019-07-31
50,135.9100,165.3700,132.6000,164.2300,40.8346,205833345,0.0000,NVDA,2019-06-28
51,183.1100,184.8700,135.3900,135.4600,33.6811,279518852,0.1600,NVDA,2019-05-31
52,183.2600,193.4700,173.3000,181.0000,44.9526,236076606,0.0000,NVDA,2019-04-30
53,156.2700,185.0000,144.8000,179.5600,44.5950,301712810,0.0000,NVDA,2019-03-29
54,144.5000,165.2800,142.5800,154.2600,38.3116,286143490,0.1600,NVDA,2019-02-28
55,130.6400,160.8800,127.6900,143.7500,35.6643,421791107,0.0000,NVDA,2019-01-31
56,172.6000,174.6800,124.4600,133.5000,33.1213,311279473,0.0000,NVDA,2018-12-31
57,212.3000,222.0000,133.3100,163.4300,40.5469,404058585,0.1600,NVDA,2018-11-30
58,284.1600,292.7600,176.0100,210.8300,52.2537,324449489,0.0000,NVDA,2018-10-31
59,280.1500,285.2200,258.6800,281.0200,69.6502,158504898,0.0000,NVDA,2018-09-28
60,246.1300,281.7200,238.7200,280.6800,69.5659,272951421,0.1500,NVDA,2018-08-31
61,234.0900,256.6000,233.2600,244.8600,60.6553,158081687,0.0000,NVDA,2018-07-31
62,254.0000,269.2000,235.0100,236.9000,58.6835,219638498,0.0000,NVDA,2018-06-29
63,224.5700,260.5000,222.2000,252.1900,62.4711,299456113,0.1500,NVDA,2018-05-31
64,228.7400,239.2500,210.3000,224.9000,55.6772,278676971,0.0000,NVDA,2018-04-30
65,241.9100,254.5000,217.0000,231.5900,57.3334,350302126,0.0000,NVDA,2018-03-29
66,238.5200,251.9700,204.0000,242.0000,59.9106,358836498,0.1500,NVDA,2018-02-28
67,195.7800,249.2700,194.5000,245.8000,60.8136,275174934,0.0000,NVDA,2018-01-31
68,199.3100,200.3000,180.5800,193.5000,47.8740,249998757,0.0000,NVDA,2017-12-29
69,209.3500,218.6700,191.2300,200.7100,49.6579,288285133,0.1500,NVDA,2017-11-30
70,180.8000,207.8900,177.0000,206.8100,51.1314,282241671,0.0000,NVDA,2017-10-31
71,169.9500,191.2000,162.7100,178.7700,44.1988,354779197,0.0000,NVDA,2017-09-29
72,162.1250,174.5600,152.9100,169.4400,41.8921,356899929,0.1400,NVDA,2017-08-31
