,Opening Price,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Company,Date
0,131.9200,132.3900,112.8100,114.0200,114.0200,105523754,0.0000,QCOM,2023-08-14
1,119.2700,132.9700,113.6200,132.1700,132.1700,163276141,0.0000,QCOM,2023-07-31
2,114.5600,125.4000,112.2400,119.0400,119.0400,176555429,0.0000,QCOM,2023-06-30
3,117.2100,117.5800,101.4700,113.4100,113.4100,221680102,0.8000,QCOM,2023-05-31
4,126.9900,127.5740,112.1500,116.8000,115.9819,108899515,0.0000,QCOM,2023-04-28
5,123.7800,128.1900,113.1400,127.5800,126.6863,169566040,0.7500,QCOM,2023-03-31
6,132.6800,139.9400,122.9200,123.5300,121.9254,142248014,0.0000,QCOM,2023-02-28
7,111.3500,134.8900,107.1300,133.2100,131.4796,169127022,0.0000,QCOM,2023-01-31
8,126.7200,128.2000,106.8200,109.9400,108.5119,157125333,0.0000,QCOM,2022-12-30
9,119.7400,128.1250,101.9300,126.4900,124.8469,196725997,0.7500,QCOM,2022-11-30
10,114.9900,127.2090,104.6600,117.6600,115.4471,164712829,0.0000,QCOM,2022-10-31
11,129.9800,134.2200,112.9200,112.9800,110.8551,166082156,0.0000,QCOM,2022-09-30
12,144.3100,152.9100,131.3000,132.2700,129.7823,141857903,0.7500,QCOM,2022-08-31
13,125.7500,156.6600,120.3600,145.0600,141.5293,175172292,0.0000,QCOM,2022-07-29
14,142.5500,146.2500,118.2250,127.7400,124.6308,212654246,0.7500,QCOM,2022-06-30
15,140.6000,149.5000,125.8600,143.2200,138.9896,217840804,0.0000,QCOM,2022-05-31
16,151.9400,154.1300,130.6600,139.6900,135.5638,249563225,0.0000,QCOM,2022-04-29
17,170.9600,171.8400,139.0500,152.8200,148.3060,242240794,0.6800,QCOM,2022-03-31
18,176.4447,192.1000,155.7900,171.9900,166.2418,241754236,0.0000,QCOM,2022-02-28
19,182.9100,193.5800,157.3800,175.7600,169.8858,208517243,0.0000,QCOM,2022-01-31
20,180.8850,192.6800,171.2100,182.8700,176.7582,190560341,0.6800,QCOM,2021-12-31
21,132.4400,188.7700,132.4400,180.5600,173.8523,321182899,0.0000,QCOM,2021-11-30
22,129.7999,133.8300,122.1650,133.0400,128.0976,148729423,0.0000,QCOM,2021-10-29
23,146.8400,148.1000,128.6950,128.9800,124.1885,144727257,0.6800,QCOM,2021-09-30
24,150.0000,152.2800,138.9600,146.6900,140.5878,141128198,0.0000,QCOM,2021-08-31
25,142.9100,151.5200,135.6000,149.8000,143.5684,157466096,0.0000,QCOM,2021-07-30
26,135.1036,143.6280,131.4200,142.9300,136.9842,156365292,0.6800,QCOM,2021-06-30
27,139.7000,139.7600,123.6800,134.5400,128.2913,183640463,0.0000,QCOM,2021-05-28
28,134.5000,145.2965,132.4700,138.8000,132.3534,207344132,0.0000,QCOM,2021-04-30
29,137.5000,140.1000,122.9900,132.5900,126.4319,254651318,0.6500,QCOM,2021-03-31
30,157.3700,167.5800,134.4400,136.1900,129.2267,261287057,0.0000,QCOM,2021-02-26
31,153.0100,167.9400,147.1388,156.2800,148.2895,140843708,0.0000,QCOM,2021-01-29
32,148.7900,161.0700,141.8901,152.3400,144.5509,175745449,0.6500,QCOM,2020-12-31
33,124.5000,153.3300,122.4100,147.1700,139.0427,188553189,0.0000,QCOM,2020-11-30
34,119.9300,132.4200,115.4300,123.3600,116.5476,147910607,0.0000,QCOM,2020-10-30
35,121.0800,123.9299,108.3000,117.6800,111.1812,179918907,0.6500,QCOM,2020-09-30
36,107.4000,121.0600,104.7400,119.1000,111.9322,206061326,0.0000,QCOM,2020-08-31
37,91.0100,107.7530,87.5100,105.6100,99.2540,200098902,0.0000,QCOM,2020-07-31
38,79.8900,92.1400,79.2400,91.2100,85.7207,222768600,0.6500,QCOM,2020-06-30
39,76.8500,81.9600,74.0900,80.8800,75.4295,198186967,0.0000,QCOM,2020-05-29
40,65.0000,80.8700,64.5500,78.6700,73.3684,215849377,0.0000,QCOM,2020-04-30
41,79.0200,82.6500,58.0000,67.6500,63.0910,322114348,0.6200,QCOM,2020-03-31
42,85.5500,92.4400,73.3400,78.3000,72.4740,220392367,0.0000,QCOM,2020-02-28
43,89.0500,96.1700,85.0400,85.3100,78.9624,200765335,0.0000,QCOM,2020-01-31
44,83.9800,90.4600,79.8100,88.2300,81.6652,170979920,0.6200,QCOM,2019-12-31
45,81.5900,94.1100,81.2500,83.5500,76.7536,232632548,0.0000,QCOM,2019-11-29
46,77.0600,83.1300,72.8100,80.4400,73.8966,137123098,0.0000,QCOM,2019-10-31
47,76.7700,80.4400,74.6300,76.2800,70.0750,129998184,0.6200,QCOM,2019-09-30
48,68.8800,79.1000,67.1200,77.7700,70.8937,235886373,0.0000,QCOM,2019-08-30
49,80.6700,80.7600,72.7600,73.1600,66.6913,241932362,0.0000,QCOM,2019-07-31
50,67.0900,76.4400,65.8300,76.0700,69.3440,250977203,0.6200,QCOM,2019-06-28
51,87.1700,90.3400,64.7600,66.8200,60.3535,492653215,0.0000,QCOM,2019-05-31
52,57.6400,88.6300,55.7900,86.1300,77.7948,618272885,0.0000,QCOM,2019-04-30
53,54.0000,58.3900,53.0300,57.0300,51.5110,261438393,0.6200,QCOM,2019-03-29
54,49.5800,53.9700,49.4000,53.3900,47.6837,242230542,0.0000,QCOM,2019-02-28
55,56.2000,58.1700,49.1000,49.5200,44.2273,381563093,0.0000,QCOM,2019-01-31
56,60.5100,60.5100,53.5100,56.9100,50.8275,308069717,0.6200,QCOM,2018-12-31
57,63.2000,64.3400,53.5300,58.2600,51.4744,396206911,0.0000,QCOM,2018-11-30
58,72.4600,73.9100,61.1800,62.8900,55.5651,341625904,0.0000,QCOM,2018-10-31
59,68.7400,76.5000,68.7100,72.0300,63.6406,290784557,0.6200,QCOM,2018-09-28
60,63.5500,70.4900,63.5500,68.7100,60.1742,265342424,0.0000,QCOM,2018-08-31
61,55.4000,64.6600,55.1200,64.0900,56.1281,208827836,0.0000,QCOM,2018-07-31
62,58.3400,62.6500,55.0900,56.1200,49.1482,188075683,0.0000,QCOM,2018-06-29
63,50.7600,60.0000,49.3100,58.1200,50.8998,237099454,0.6200,QCOM,2018-05-31
64,55.1000,56.7900,48.5600,51.0100,44.2024,207790487,0.0000,QCOM,2018-04-30
65,65.0300,66.2400,53.6500,55.4100,48.0152,309423245,0.0000,QCOM,2018-03-29
66,67.0000,68.3500,60.5000,65.0000,56.3253,294816666,0.5700,QCOM,2018-02-28
67,64.3800,68.9000,64.1700,68.2500,58.6378,175244510,0.0000,QCOM,2018-01-31
68,65.2000,66.1200,63.8000,64.0200,55.0035,156140434,0.0000,QCOM,2017-12-29
69,51.4700,69.2800,50.5100,66.3400,56.9968,427274897,0.5700,QCOM,2017-11-30
70,52.0900,54.7700,50.0200,51.0100,43.4635,170449202,0.0000,QCOM,2017-10-31
71,52.5300,52.7700,48.9200,51.8400,44.1707,162320917,0.0000,QCOM,2017-09-29
72,53.3000,54.1000,51.2800,52.2700,44.5371,167721377,0.5700,QCOM,2017-08-31
73,55.5300,56.9399,52.2300,53.1900,44.8278,170910390,0.0000,QCOM,2017-07-31
74,57.4500,59.0500,54.5500,55.2200,46.5387,187677611,0.0000,QCOM,2017-06-30
75,53.6500,59.8900,52.9000,57.2700,48.2664,252597599,0.5700,QCOM,2017-05-31
76,57.2600,57.5300,51.0500,53.7400,44.8470,245526846,0.0000,QCOM,2017-04-28
77,56.9300,59.0400,56.0000,57.3400,47.8512,195236585,0.0000,QCOM,2017-03-31
78,53.6400,57.3050,52.3700,56.4800,47.1335,213744177,0.5300,QCOM,2017-02-28
79,65.8600,67.0800,52.8300,53.4300,44.1755,383020552,0.0000,QCOM,2017-01-31
80,67.7200,70.2400,63.7800,65.2000,53.9069,157341139,0.0000,QCOM,2016-12-30
81,69.0000,69.3500,64.3200,68.1300,56.3294,202069884,0.5300,QCOM,2016-11-30
82,68.0800,71.6200,64.3000,68.7200,56.3719,218422559,0.0000,QCOM,2016-10-31
83,62.8700,70.4000,59.9300,68.5000,56.1915,221629872,0.0000,QCOM,2016-09-30
84,62.3700,63.6900,60.0200,63.0700,51.7372,160487709,0.5300,QCOM,2016-08-31
85,52.9900,62.8200,51.1600,62.5800,50.9068,205891142,0.0000,QCOM,2016-07-29
86,54.5000,55.5700,50.8400,53.5700,43.5775,210762403,0.0000,QCOM,2016-06-30
87,50.6900,56.2700,50.1300,54.9200,44.6757,196206716,0.5300,QCOM,2016-05-31
88,51.0800,53.2800,49.7250,50.5200,40.7061,190899045,0.0000,QCOM,2016-04-29
89,51.0800,53.5200,49.6700,51.1400,41.2056,259102259,0.0000,QCOM,2016-03-31
90,44.7100,52.0000,42.2400,50.7900,40.9236,255057632,0.4800,QCOM,2016-02-29
91,49.4300,50.6000,43.4700,45.3400,36.1903,292170229,0.0000,QCOM,2016-01-29
92,48.7500,53.4400,45.9300,49.9850,39.8979,351047806,0.0000,QCOM,2015-12-31
93,59.7000,61.1800,47.5200,48.7900,38.9441,338774969,0.4800,QCOM,2015-11-30
94,53.6000,61.1900,53.0000,59.4200,46.9645,206228207,0.0000,QCOM,2015-10-30
95,55.2500,56.7600,52.1700,53.7300,42.4672,244043128,0.0000,QCOM,2015-09-30
96,64.3500,64.8200,52.5900,56.5800,44.7198,304366528,0.4800,QCOM,2015-08-31
97,63.1000,66.0500,60.8300,64.3900,50.4646,305330823,0.0000,QCOM,2015-07-31
98,69.5100,70.0500,62.4500,62.6300,49.0852,251773684,0.4800,QCOM,2015-06-30
99,68.3100,71.3180,67.5000,69.6800,54.2355,216503520,0.0000,QCOM,2015-05-29
100,68.4700,71.9000,66.1800,68.0000,52.9279,265601831,0.0000,QCOM,2015-04-30
101,71.8000,74.0900,65.6800,69.3400,53.9708,278695136,0.4200,QCOM,2015-03-31
102,62.4900,72.5700,62.2600,72.5100,56.1138,243792576,0.0000,QCOM,2015-02-27
103,74.5100,75.3000,62.3900,62.4600,48.3364,274991208,0.0000,QCOM,2015-01-30
104,72.4600,75.7200,69.5900,74.3300,57.5223,200747286,0.0000,QCOM,2014-12-31
105,78.3100,78.5300,67.6700,72.9000,56.4157,276366784,0.4200,QCOM,2014-11-28
106,74.6400,78.5300,69.3600,78.5100,60.4060,203035334,0.0000,QCOM,2014-10-31
107,75.9200,77.0000,74.1100,74.7700,57.5284,169546548,0.0000,QCOM,2014-09-30
108,73.6700,77.3100,71.8200,76.1000,58.5517,163038944,0.4200,QCOM,2014-08-29
109,79.3500,81.9700,73.6500,73.7200,56.4092,218582300,0.0000,QCOM,2014-07-31
